FEN,Eval
P4/5/5/5/[] w,110
G4/5/5/5/[] w,363
S4/5/5/5/[] w,310
R4/5/5/5/[] w,496
B4/5/5/5/[] w,437
K4/5/5/5/[] w,10006
+P4/5/5/5/[] w,350
+S4/5/5/5/[] w,335
+R4/5/5/5/[] w,786
+B4/5/5/5/[] w,731
p4/5/5/5/[] w,-85
g4/5/5/5/[] w,-343
s4/5/5/5/[] w,-290
r4/5/5/5/[] w,-472
b4/5/5/5/[] w,-417
k4/5/5/5/[] w,-9986
+p4/5/5/5/[] w,-330
+s4/5/5/5/[] w,-315
+r4/5/5/5/[] w,-762
+b4/5/5/5/[] w,-711
1P3/5/5/5/[] w,110
1G3/5/5/5/[] w,363
1S3/5/5/5/[] w,310
1R3/5/5/5/[] w,484
1B3/5/5/5/[] w,436
1K3/5/5/5/[] w,10010
1+P3/5/5/5/[] w,350
1+S3/5/5/5/[] w,335
1+R3/5/5/5/[] w,774
1+B3/5/5/5/[] w,730
1p3/5/5/5/[] w,-85
1g3/5/5/5/[] w,-343
1s3/5/5/5/[] w,-290
1r3/5/5/5/[] w,-460
1b3/5/5/5/[] w,-416
1k3/5/5/5/[] w,-9990
1+p3/5/5/5/[] w,-330
1+s3/5/5/5/[] w,-315
1+r3/5/5/5/[] w,-750
1+b3/5/5/5/[] w,-710
2P2/5/5/5/[] w,110
2G2/5/5/5/[] w,363
2S2/5/5/5/[] w,310
2R2/5/5/5/[] w,486
2B2/5/5/5/[] w,438
2K2/5/5/5/[] w,10012
2+P2/5/5/5/[] w,350
2+S2/5/5/5/[] w,335
2+R2/5/5/5/[] w,776
2+B2/5/5/5/[] w,732
2p2/5/5/5/[] w,-83
2g2/5/5/5/[] w,-343
2s2/5/5/5/[] w,-290
2r2/5/5/5/[] w,-462
2b2/5/5/5/[] w,-418
2k2/5/5/5/[] w,-9992
2+p2/5/5/5/[] w,-330
2+s2/5/5/5/[] w,-315
2+r2/5/5/5/[] w,-752
2+b2/5/5/5/[] w,-712
3P1/5/5/5/[] w,110
3G1/5/5/5/[] w,363
3S1/5/5/5/[] w,310
3R1/5/5/5/[] w,484
3B1/5/5/5/[] w,436
3K1/5/5/5/[] w,10010
3+P1/5/5/5/[] w,350
3+S1/5/5/5/[] w,335
3+R1/5/5/5/[] w,774
3+B1/5/5/5/[] w,730
3p1/5/5/5/[] w,-85
3g1/5/5/5/[] w,-343
3s1/5/5/5/[] w,-290
3r1/5/5/5/[] w,-460
3b1/5/5/5/[] w,-416
3k1/5/5/5/[] w,-9990
3+p1/5/5/5/[] w,-330
3+s1/5/5/5/[] w,-315
3+r1/5/5/5/[] w,-750
3+b1/5/5/5/[] w,-710
4P/5/5/5/[] w,110
4G/5/5/5/[] w,363
4S/5/5/5/[] w,310
4R/5/5/5/[] w,496
4B/5/5/5/[] w,437
4K/5/5/5/[] w,10006
4+P/5/5/5/[] w,350
4+S/5/5/5/[] w,335
4+R/5/5/5/[] w,786
4+B/5/5/5/[] w,731
4p/5/5/5/[] w,-85
4g/5/5/5/[] w,-343
4s/5/5/5/[] w,-290
4r/5/5/5/[] w,-472
4b/5/5/5/[] w,-417
4k/5/5/5/[] w,-9986
4+p/5/5/5/[] w,-330
4+s/5/5/5/[] w,-315
4+r/5/5/5/[] w,-762
4+b/5/5/5/[] w,-711
5/P4/5/5/[] w,150
5/G4/5/5/[] w,363
5/S4/5/5/[] w,310
5/R4/5/5/[] w,482
5/B4/5/5/[] w,436
5/K4/5/5/[] w,10010
5/+P4/5/5/[] w,350
5/+S4/5/5/[] w,335
5/+R4/5/5/[] w,772
5/+B4/5/5/[] w,730
5/p4/5/5/[] w,-93
5/g4/5/5/[] w,-343
5/s4/5/5/[] w,-290
5/r4/5/5/[] w,-460
5/b4/5/5/[] w,-416
5/k4/5/5/[] w,-9990
5/+p4/5/5/[] w,-330
5/+s4/5/5/[] w,-315
5/+r4/5/5/[] w,-750
5/+b4/5/5/[] w,-710
5/1P3/5/5/[] w,150
5/1G3/5/5/[] w,363
5/1S3/5/5/[] w,310
5/1R3/5/5/[] w,486
5/1B3/5/5/[] w,441
5/1K3/5/5/[] w,10011
5/1+P3/5/5/[] w,350
5/1+S3/5/5/[] w,335
5/1+R3/5/5/[] w,776
5/1+B3/5/5/[] w,735
5/1p3/5/5/[] w,-93
5/1g3/5/5/[] w,-343
5/1s3/5/5/[] w,-290
5/1r3/5/5/[] w,-464
5/1b3/5/5/[] w,-421
5/1k3/5/5/[] w,-9991
5/1+p3/5/5/[] w,-330
5/1+s3/5/5/[] w,-315
5/1+r3/5/5/[] w,-754
5/1+b3/5/5/[] w,-715
5/2P2/5/5/[] w,145
5/2G2/5/5/[] w,363
5/2S2/5/5/[] w,310
5/2R2/5/5/[] w,490
5/2B2/5/5/[] w,442
5/2K2/5/5/[] w,10010
5/2+P2/5/5/[] w,350
5/2+S2/5/5/[] w,335
5/2+R2/5/5/[] w,780
5/2+B2/5/5/[] w,736
5/2p2/5/5/[] w,-90
5/2g2/5/5/[] w,-343
5/2s2/5/5/[] w,-290
5/2r2/5/5/[] w,-468
5/2b2/5/5/[] w,-422
5/2k2/5/5/[] w,-9990
5/2+p2/5/5/[] w,-330
5/2+s2/5/5/[] w,-315
5/2+r2/5/5/[] w,-758
5/2+b2/5/5/[] w,-716
5/3P1/5/5/[] w,150
5/3G1/5/5/[] w,363
5/3S1/5/5/[] w,310
5/3R1/5/5/[] w,486
5/3B1/5/5/[] w,441
5/3K1/5/5/[] w,10011
5/3+P1/5/5/[] w,350
5/3+S1/5/5/[] w,335
5/3+R1/5/5/[] w,776
