rbsgk/4p/P4/5/KGSBR[] b;score:-278;eval:-35;qs:-308;outcome:0.0
rbsgk/5/P3p/5/KGSBR[] w;score:114;eval:3;qs:276;outcome:0.5
rbsgk/P4/4p/5/KGSBR[] b;score:107;eval:11;qs:11;outcome:0.5
rbsgk/P4/5/4p/KGSBR[] w;score:294;eval:3;qs:294;outcome:1.0
+Pbsgk/5/5/4p/KGSBR[R] b;score:294;eval:1305;qs:294;outcome:1.0
+Pbsgk/5/5/5/KGSB+p[Rr] w;score:296;eval:3;qs:294;outcome:1.0
+Pbs1k/2g2/5/4p/KGSBR[R] w;score:2873;eval:1356;qs:1642;outcome:1.0
rbsgk/P4/5/G3p/K1SBR[] b;score:-427;eval:-1;qs:-427;outcome:0.0
rbsgk/P4/5/G4/K1SB+p[r] w;score:-427;eval:-1303;qs:-427;outcome:0.0
rbs1k/P1g2/5/G3p/K1SBR[] w;score:2124;eval:50;qs:336;outcome:1.0
rbs1k/P1g2/4p/5/KGSBR[] w;score:2123;eval:62;qs:1364;outcome:1.0
+Pbs1k/2g2/4p/5/KGSBR[R] b;score:2258;eval:1364;qs:1364;outcome:1.0
+Pbs1k/2g2/5/4p/KGSBR[R] w;score:2873;eval:1356;qs:1642;outcome:1.0
+Pbs1k/1g3/4p/5/KGSBR[R] w;score:987647;eval:1371;qs:2108;outcome:1.0
rbs1k/P1g2/4p/G4/K1SBR[] b;score:33;eval:58;qs:58;outcome:0.5
rbs1k/P1g2/5/G3p/K1SBR[] w;score:2124;eval:50;qs:336;outcome:1.0
rbs1k/Pg3/4p/G4/K1SBR[] w;score:1645;eval:65;qs:1367;outcome:1.0
rbsgk/5/P3p/G4/K1SBR[] b;score:-24;eval:-1;qs:-1;outcome:0.5
rbsgk/5/P4/G3p/K1SBR[] w;score:258;eval:-9;qs:233;outcome:1.0
rbsgk/P4/5/G3p/K1SBR[] b;score:-427;eval:-1;qs:-427;outcome:0.0
rbsgk/P4/5/G4/K1SB+p[r] w;score:-427;eval:-1303;qs:-427;outcome:0.0
rbs1k/P1g2/5/G3p/K1SBR[] w;score:2124;eval:50;qs:336;outcome:1.0
rbsgk/5/PG3/4p/K1SBR[] b;score:-1249;eval:-61;qs:-1363;outcome:0.0
rbsgk/5/PG3/5/K1SB+p[r] w;score:-1249;eval:-1363;qs:-1363;outcome:0.0
rbs1k/2g2/PG3/4p/K1SBR[] w;score:605;eval:-10;qs:276;outcome:1.0
rbs1k/2g2/P3p/G4/K1SBR[] w;score:286;eval:50;qs:323;outcome:1.0
rbs1k/P1g2/4p/G4/K1SBR[] b;score:33;eval:58;qs:58;outcome:0.5
rbs1k/P1g2/5/G3p/K1SBR[] w;score:2124;eval:50;qs:336;outcome:1.0
rbs1k/Pg3/4p/G4/K1SBR[] w;score:1645;eval:65;qs:1367;outcome:1.0
rbs1k/2g2/PG2p/5/K1SBR[] b;score:175;eval:-2;qs:-232;outcome:1.0
rbs1k/2g2/PG3/4p/K1SBR[] w;score:605;eval:-10;qs:276;outcome:1.0
rbs1k/1g3/PG2p/5/K1SBR[] w;score:287;eval:5;qs:275;outcome:1.0
rbs1k/2g1p/P4/5/KGSBR[] w;score:40;eval:16;qs:16;outcome:0.5
rbs1k/P1g1p/5/5/KGSBR[] b;score:-302;eval:24;qs:-218;outcome:0.0
rbs1k/P1g2/4p/5/KGSBR[] w;score:2123;eval:62;qs:1364;outcome:1.0
+Pbs1k/2g2/4p/5/KGSBR[R] b;score:2258;eval:1364;qs:1364;outcome:1.0
+Pbs1k/2g2/5/4p/KGSBR[R] w;score:2873;eval:1356;qs:1642;outcome:1.0
+Pbs1k/1g3/4p/5/KGSBR[R] w;score:987647;eval:1371;qs:2108;outcome:1.0
rbs1k/P1g2/4p/G4/K1SBR[] b;score:33;eval:58;qs:58;outcome:0.5
rbs1k/P1g2/5/G3p/K1SBR[] w;score:2124;eval:50;qs:336;outcome:1.0
rbs1k/Pg3/4p/G4/K1SBR[] w;score:1645;eval:65;qs:1367;outcome:1.0
rbs1k/Pg2p/5/5/KGSBR[] w;score:1346;eval:31;qs:1333;outcome:1.0
+Pbs1k/1g2p/5/5/KGSBR[R] b;score:1346;eval:1333;qs:1333;outcome:1.0
+Pbs1k/1g3/4p/5/KGSBR[R] w;score:987647;eval:1371;qs:2108;outcome:1.0
+Pbs1k/g3p/5/5/KGSBR[R] w;score:3160;eval:1340;qs:2273;outcome:1.0
